id,cik,filing,docs_link,filing_desc,effective,file_num,file_num_raw,filing_date,update_ts
60905,0001002761,10-D,/Archives/edgar/data/1002761/000119312513213447/0001193125-13-213447-index.htm,"Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934]
Acc-no: 0001193125-13-213447 (34 Act)  Size: 389 KB            ",2013-05-10,001-13329,"001-13329
13832529         ",NULL,"2021-05-23 00:20:20"
103031,0001099391,8-K,/Archives/edgar/data/1099391/000109939101000037/0001099391-01-000037-index.htm,"Current report, items 5 and 7

Acc-no: 0001099391-01-000037 Size: 8 KB            ",2001-03-12,333-42510,"333-42510
1565979         ",NULL,"2021-05-23 00:40:04"
12263,0000809940,8-K,/Archives/edgar/data/809940/0000809940-97-000007-index.html,"Current report, item 5

Acc-no: 0000809940-97-000007 Size: 21 KB            ",1997-01-24,333-01704,"333-01704
97510477         ",NULL,"2021-05-23 00:07:26"
334148,0001675171,10-D,/Archives/edgar/data/1675171/000119312517310807/0001193125-17-310807-index.htm,"Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934]
Acc-no: 0001193125-17-310807 (34 Act)  Size: 131 KB            ",2017-10-16,333-207639-02,"333-207639-02
171138566         ",NULL,"2021-05-23 02:14:22"
60069,0001002761,UPLOAD,/Archives/edgar/data/1002761/000000000014020095/0000000000-14-020095-index.htm,"[Cover]
SEC-generated letter
Acc-no: 0000000000-14-020095 Size: 159 KB            ",2014-04-21,NULL,,NULL,"2021-05-23 00:19:19"
140599,0001177974,8-K,/Archives/edgar/data/1177974/000095012404003202/0000950124-04-003202-index.htm,"Current report, items 5 and 7

Acc-no: 0000950124-04-003202 Size: 45 KB            ",2004-07-15,333-106332-02,"333-106332-02
04916300         ",NULL,"2021-05-23 00:49:38"
201808,0001321764,8-K,/Archives/edgar/data/1321764/000095013305004397/0000950133-05-004397-index.htm,"Current report, items 8.01 and 9.01

Acc-no: 0000950133-05-004397 (34 Act)  Size: 427 KB            ",2005-09-28,333-104887-05,"333-104887-05
051109245         ",NULL,"2021-05-23 01:20:08"
316637,0001623838,10-D,/Archives/edgar/data/1623838/000105640415000745/0001056404-15-000745-index.htm,"Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934]
Acc-no: 0001056404-15-000745 (34 Act)  Size: 1 MB            ",2015-04-01,333-197550-02,"333-197550-02
15742614         ",NULL,"2021-05-23 02:09:59"
51008,0000931866,8-K,/Archives/edgar/data/931866/000027664101500039/0000276641-01-500039-index.htm,"Current report, item 5

Acc-no: 0000276641-01-500039 Size: 13 KB            ",2001-11-19,333-39062-01,"333-39062-01
1794976         ",NULL,"2021-05-23 00:07:37"
319257,0001633241,10-D,/Archives/edgar/data/1633241/000119312515130400/0001193125-15-130400-index.htm,"Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934]
Acc-no: 0001193125-15-130400 (34 Act)  Size: 201 KB            ",2015-04-15,333-189212-07,"333-189212-07
15770664         ",NULL,"2021-05-23 02:10:32"
